(24,25) | out1 | out2 | out3 | out4 | out5 | out6 | out7 | out8 | out9 | out10 | out11 | out12 | out13 | out14 | out15 | out16 | out17 | out18 | out19 | out20 | out21 | out22 | out23 | out24 | out25
sec1 | 0.10360024524681223 | 0.0 | 0.0 | 0.0 | 0.0 | 0.01589091630953912 | 0.0 | 0.0 | 0.0 | 0.0 | 0.00466661283534913 | 0.0 | 0.0 | 0.0 | 0.005041718952379233 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.010271813986242034 | 0.0 | 0.011381344723835125 | 0.8491464617851286
sec2 | 0.007785138558193361 | 0.0 | 0.0 | 0.0 | 0.0 | 0.01739965734210504 | 0.0 | 0.0 | 0.0 | 0.0 | 0.00546524460154523 | 0.0 | 0.0 | 0.0 | 0.005953145114557326 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.01202031036565377 | 0.0 | 0.006293109440469428 | 0.9450824021079623
sec3 | 0.013109045991909728 | 0.0 | 0.0 | 0.0 | 0.0 | 0.008454136379901068 | 0.0 | 0.0 | 0.0 | 0.0 | 0.011132830915795738 | 0.0 | 0.0 | 0.0 | 0.011349399636774565 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.006650151649378761 | 0.0 | 0.010822963785523262 | 0.9384804881565312
sec4 | 0.007260220245133729 | 0.0 | 0.0 | 0.0 | 0.0 | 0.014943735354442692 | 0.0 | 0.0 | 0.0 | 0.0 | 0.010929854061973993 | 0.0 | 0.0 | 0.0 | 0.011413273636229437 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0065358064917916394 | 0.0 | 0.011548884419927862 | 0.9373672460182125
sec5 | 0.006809308929818193 | 0.0 | 0.0 | 0.0 | 0.0 | 0.01564618321507881 | 0.0 | 0.0 | 0.0 | 0.0 | 0.011410362332604432 | 0.0 | 0.0 | 0.0 | 0.011312806298545197 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.011331818316786417 | 0.0 | 0.011095787102142403 | 0.9323927603136501
sec6 | 0.013606426210301581 | 0.0 | 0.0 | 0.0 | 0.0 | 0.11653338659494276 | 0.0 | 0.0 | 0.0 | 0.0 | 0.005040436977353198 | 0.0 | 0.0 | 0.0 | 0.004548375586252189 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.004557135938714218 | 0.0 | 0.012225119826219683 | 0.843488237493998
sec7 | 0.011808970588305146 | 0.0 | 0.0 | 0.0 | 0.0 | 0.014303916588030938 | 0.0 | 0.0 | 0.0 | 0.0 | 0.009389264849180533 | 0.0 | 0.0 | 0.0 | 0.005077092388809102 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0061637072450466904 | 0.0 | 0.01035035176970765 | 0.9429057074295843
sec8 | 0.011841242980265693 | 0.0 | 0.0 | 0.0 | 0.0 | 0.010123889257513022 | 0.0 | 0.0 | 0.0 | 0.0 | 0.011140105649223735 | 0.0 | 0.0 | 0.0 | 0.005200754519383037 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.011904285248934556 | 0.0 | 0.006307912113133867 | 0.9434808211525264
sec9 | 0.006070629434309676 | 0.0 | 0.0 | 0.0 | 0.0 | 0.017436850427015118 | 0.0 | 0.0 | 0.0 | 0.0 | 0.011392135800393634 | 0.0 | 0.0 | 0.0 | 0.005506730221338197 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.011780393368882765 | 0.0 | 0.005649521844250339 | 0.9421627501462658
sec10 | 0.013344244400891773 | 0.0 | 0.0 | 0.0 | 0.0 | 0.015332262058695426 | 0.0 | 0.0 | 0.0 | 0.0 | 0.010609800833247019 | 0.0 | 0.0 | 0.0 | 0.004394274480386826 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.010727763442350992 | 0.0 | 0.01150586232026078 | 0.9340848175748164
sec11 | 0.0065590776408373805 | 0.0 | 0.0 | 0.0 | 0.0 | 0.015219654678834632 | 0.0 | 0.0 | 0.0 | 0.0 | 0.09409393461339108 | 0.0 | 0.0 | 0.0 | 0.003875144647128777 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.010811332116502027 | 0.0 | 0.01089950443362573 | 0.858540455112508
sec12 | 0.012701135274895898 | 0.0 | 0.0 | 0.0 | 0.0 | 0.008565030053755288 | 0.0 | 0.0 | 0.0 | 0.0 | 0.005426487822594463 | 0.0 | 0.0 | 0.0 | 0.005956480368502928 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.010230864362002417 | 0.0 | 0.010646430541793492 | 0.9464725762721383
sec13 | 0.013648928223694182 | 0.0 | 0.0 | 0.0 | 0.0 | 0.009647064252239676 | 0.0 | 0.0 | 0.0 | 0.0 | 0.00598160550021812 | 0.0 | 0.0 | 0.0 | 0.013552713894180453 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.011043962538660093 | 0.0 | 0.011801038264702256 | 0.9343237116957199
sec14 | 0.012471059779494257 | 0.0 | 0.0 | 0.0 | 0.0 | 0.008950167975155549 | 0.0 | 0.0 | 0.0 | 0.0 | 0.005836359838212542 | 0.0 | 0.0 | 0.0 | 0.010996824560853864 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.01149991750162994 | 0.0 | 0.010776604848125624 | 0.9394680812663474
sec15 | 0.006478343972100984 | 0.0 | 0.0 | 0.0 | 0.0 | 0.007948040710875535 | 0.0 | 0.0 | 0.0 | 0.0 | 0.011477499434316626 | 0.0 | 0.0 | 0.0 | 0.11138252525968784 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.011090356105017997 | 0.0 | 0.005030213915578004 | 0.8465921322513782
